id,region,population,area,popdense,gdp
4,ASIA (EX. NEAR EAST)         ,31056997,647500,48,700
8,EASTERN EUROPE                     ,3581655,28748,124.6,4500
12,NORTHERN AFRICA                    ,32930091,2381740,13.8,6000
24,SUB-SAHARAN AFRICA                 ,12127071,1246700,9.7,1900
10,THE ANTARTICA REGION,"1,106","5,500,000",0.0002,NA
32,LATIN AMER. & CARIB    ,39921833,2766890,14.4,11200
51,C.W. OF IND. STATES ,2976372,29800,99.9,3500
36,OCEANIA                            ,20264082,7686850,2.6,29000
40,WESTERN EUROPE                     ,8192880,83870,97.7,30000
31,C.W. OF IND. STATES ,7961619,86600,91.9,3400
44,LATIN AMER. & CARIB    ,303770,13940,21.8,16700
50,ASIA (EX. NEAR EAST)         ,147365352,144000,1023.4,1900
112,C.W. OF IND. STATES ,10293011,207600,49.6,6100
56,WESTERN EUROPE                     ,10379067,30528,340,29100
84,LATIN AMER. & CARIB    ,287730,22966,12.5,4900
204,SUB-SAHARAN AFRICA                 ,7862944,112620,69.8,1100
64,ASIA (EX. NEAR EAST)         ,2279723,47000,48.5,1300
68,LATIN AMER. & CARIB    ,8989046,1098580,8.2,2400
70,EASTERN EUROPE                     ,4498976,51129,88,6100
72,SUB-SAHARAN AFRICA                 ,1639833,600370,2.7,9000
76,LATIN AMER. & CARIB    ,188078227,8511965,22.1,7600
96,ASIA (EX. NEAR EAST)         ,379444,5770,65.8,18600
100,EASTERN EUROPE                     ,7385367,110910,66.6,7600
854,SUB-SAHARAN AFRICA                 ,13902972,274200,50.7,1100
108,SUB-SAHARAN AFRICA                 ,8090068,27830,290.7,600
116,ASIA (EX. NEAR EAST)         ,13881427,181040,76.7,1900
120,SUB-SAHARAN AFRICA                 ,17340702,475440,36.5,1800
124,NORTHERN AMERICA                   ,33098932,9984670,3.3,29800
140,SUB-SAHARAN AFRICA                 ,4303356,622984,6.9,1100
148,SUB-SAHARAN AFRICA                 ,9944201,1284000,7.7,1200
152,LATIN AMER. & CARIB    ,16134219,756950,21.3,9900
156,ASIA (EX. NEAR EAST)         ,1313973713,9596960,136.9,5000
170,LATIN AMER. & CARIB    ,43593035,1138910,38.3,6300
178,SUB-SAHARAN AFRICA                 ,3702314,342000,10.8,700
180,SUB-SAHARAN AFRICA                 ,62660551,2345410,26.7,700
188,LATIN AMER. & CARIB    ,4075261,51100,79.8,9100
384,SUB-SAHARAN AFRICA                 ,17654843,322460,54.8,1400
191,EASTERN EUROPE                     ,4494749,56542,79.5,10600
192,LATIN AMER. & CARIB    ,11382820,110860,102.7,2900
196,NEAR EAST                          ,784301,9250,84.8,19200
203,EASTERN EUROPE                     ,10235455,78866,129.8,15700
208,WESTERN EUROPE                     ,5450661,43094,126.5,31100
262,SUB-SAHARAN AFRICA                 ,486530,23000,21.2,1300
214,LATIN AMER. & CARIB    ,9183984,48730,188.5,6000
218,LATIN AMER. & CARIB    ,13547510,283560,47.8,3300
818,NORTHERN AFRICA                    ,78887007,1001450,78.8,4000
222,LATIN AMER. & CARIB    ,6822378,21040,324.3,4800
226,SUB-SAHARAN AFRICA                 ,540109,28051,19.3,2700
232,SUB-SAHARAN AFRICA                 ,4786994,121320,39.5,700
233,BALTICS                            ,1324333,45226,29.3,12300
231,SUB-SAHARAN AFRICA                 ,74777981,1127127,66.3,700
238,BRITTANY REGION WESTERN FRANCE,"3,398","4,700",0.7,"70,800"
242,OCEANIA                            ,905949,18270,49.6,5800
246,WESTERN EUROPE                     ,5231372,338145,15.5,27400
250,WESTERN EUROPE                     ,60876136,547030,111.3,27600
260,FRENCH SOUTHERN AND ANTARTIC TERRITORY,150,"169,800",NA,NA
266,SUB-SAHARAN AFRICA                 ,1424906,267667,5.3,5500
270,SUB-SAHARAN AFRICA                 ,1641564,11300,145.3,1700
268,C.W. OF IND. STATES ,4661473,69700,66.9,2500
276,WESTERN EUROPE                     ,82422299,357021,230.9,27600
288,SUB-SAHARAN AFRICA                 ,22409572,239460,93.6,2200
300,WESTERN EUROPE                     ,10688058,131940,81,20000
304,NORTHERN AMERICA                   ,56361,2166086,0,20000
320,LATIN AMER. & CARIB    ,12293545,108890,112.9,4100
324,SUB-SAHARAN AFRICA                 ,9690222,245857,39.4,2100
624,SUB-SAHARAN AFRICA                 ,1442029,36120,39.9,800
328,LATIN AMER. & CARIB    ,767245,214970,3.6,4000
332,LATIN AMER. & CARIB    ,8308504,27750,299.4,1600
340,LATIN AMER. & CARIB    ,7326496,112090,65.4,2600
348,EASTERN EUROPE                     ,9981334,93030,107.3,13900
352,WESTERN EUROPE                     ,299388,103000,2.9,30900
356,ASIA (EX. NEAR EAST)         ,1095351995,3287590,333.2,2900
360,ASIA (EX. NEAR EAST)         ,245452739,1919440,127.9,3200
364,ASIA (EX. NEAR EAST)         ,68688433,1648000,41.7,7000
368,NEAR EAST                          ,26783383,437072,61.3,1500
372,WESTERN EUROPE                     ,4062235,70280,57.8,29600
376,NEAR EAST                          ,6352117,20770,305.8,19800
380,WESTERN EUROPE                     ,58133509,301230,193,26700
388,LATIN AMER. & CARIB    ,2758124,10991,250.9,3900
392,ASIA (EX. NEAR EAST)         ,127463611,377835,337.4,28200
400,NEAR EAST                          ,5906760,92300,64,4300
398,C.W. OF IND. STATES ,15233244,2717300,5.6,6300
404,SUB-SAHARAN AFRICA                 ,34707817,582650,59.6,1000
408,ASIA (EX. NEAR EAST)         ,23113019,120540,191.8,1300
410,ASIA (EX. NEAR EAST)         ,48846823,98480,496,17800
414,NEAR EAST                          ,2418393,17820,135.7,19000
417,C.W. OF IND. STATES ,5213898,198500,26.3,1600
418,ASIA (EX. NEAR EAST)         ,6368481,236800,26.9,1700
428,BALTICS                            ,2274735,64589,35.2,10200
422,NEAR EAST                          ,3874050,10400,372.5,4800
426,SUB-SAHARAN AFRICA                 ,2022331,30355,66.6,3000
430,SUB-SAHARAN AFRICA                 ,3042004,111370,27.3,1000
434,NORTHERN AFRICA                    ,5900754,1759540,3.4,6400
440,BALTICS                            ,3585906,65200,55,11400
442,WESTERN EUROPE                     ,474413,2586,183.5,55100
807,SOUTHEAST EUROPE,"2,103,721","9,928",207.5,"16,253"
450,SUB-SAHARAN AFRICA                 ,18595469,587040,31.7,800
454,SUB-SAHARAN AFRICA                 ,13013926,118480,109.8,600
458,ASIA (EX. NEAR EAST)         ,24385858,329750,74,9000
466,ASIA (EX. NEAR EAST)         ,359008,300,1196.7,3900
478,SUB-SAHARAN AFRICA                 ,11716829,1240000,9.5,900
484,SUB-SAHARAN AFRICA                 ,3177388,1030700,3.1,1800
498,LATIN AMER. & CARIB    ,107449525,1972550,54.5,9000
496,C.W. OF IND. STATES ,4466706,33843,132,1800
499,ASIA (EX. NEAR EAST)         ,2832224,1564116,1.8,1800
504,AFRICA,35581294,"274,460",129.5,"9,339"
508,NORTHERN AFRICA                    ,33241259,446550,74.4,4000
104,SUB-SAHARAN AFRICA                 ,19686505,801590,24.6,1200
516,SUB-SAHARAN AFRICA                 ,2044147,825418,2.5,7200
524,ASIA (EX. NEAR EAST)         ,28287147,147181,192.2,1400
528,WESTERN EUROPE                     ,16491461,41526,397.1,28600
540,OCEANIA                            ,219246,19060,11.5,15000
554,OCEANIA                            ,4076140,268680,15.2,21600
558,LATIN AMER. & CARIB    ,5570129,129494,43,2300
562,SUB-SAHARAN AFRICA                 ,12525094,1267000,9.9,800
566,SUB-SAHARAN AFRICA                 ,131859731,923768,142.7,900
578,WESTERN EUROPE                     ,4610820,323802,14.2,37800
512,NEAR EAST                          ,3102229,212460,14.6,13100
586,ASIA (EX. NEAR EAST)         ,165803560,803940,206.2,2100
275,ASIA,"4,550,000","2,400","1,693.90","3,094.73"
591,LATIN AMER. & CARIB    ,3191319,78200,40.8,6300
598,OCEANIA                            ,5670544,462840,12.3,2200
600,LATIN AMER. & CARIB    ,6506464,406750,16,4700
604,LATIN AMER. & CARIB    ,28302603,1285220,22,5100
608,ASIA (EX. NEAR EAST)         ,89468677,300000,298.2,4600
616,EASTERN EUROPE                     ,38536869,312685,123.3,11100
620,WESTERN EUROPE                     ,10605870,92391,114.8,18000
630,LATIN AMER. & CARIB    ,3927188,13790,284.8,16800
634,NEAR EAST                          ,885359,11437,77.4,21500
642,EASTERN EUROPE                     ,22303552,237500,93.9,7000
643,C.W. OF IND. STATES ,142893540,17075200,8.4,8900
646,SUB-SAHARAN AFRICA                 ,8648248,26338,328.4,1300
682,NEAR EAST                          ,27019731,1960582,13.8,11800
686,SUB-SAHARAN AFRICA                 ,11987121,196190,61.1,1600
688,EASTERN EUROPE                     ,9396411,88361,106.3,2200
694,SUB-SAHARAN AFRICA                 ,6005250,71740,83.7,500
703,EASTERN EUROPE                     ,5439448,48845,111.4,13300
705,EASTERN EUROPE                     ,2010347,20273,99.2,19000
90,OCEANIA                            ,552438,28450,19.4,1700
706,SUB-SAHARAN AFRICA                 ,8863338,637657,13.9,500
710,SUB-SAHARAN AFRICA                 ,44187637,1219912,36.2,10700
728,AFRICA,"10,975,927","239,285",34.5,1420
724,WESTERN EUROPE                     ,40397842,504782,80,22000
144,ASIA (EX. NEAR EAST)         ,20222240,65610,308.2,3700
729,SUB-SAHARAN AFRICA                 ,41236378,2505810,16.5,1900
740,LATIN AMER. & CARIB    ,439117,163270,2.7,4000
748,SUB-SAHARAN AFRICA                 ,1136334,17363,65.5,4900
752,WESTERN EUROPE                     ,9016596,449964,20,26800
756,WESTERN EUROPE                     ,7523934,41290,182.2,32700
760,NEAR EAST                          ,18881361,185180,102,3300
158,ASIA (EX. NEAR EAST)         ,23036087,35980,640.3,23400
762,C.W. OF IND. STATES ,7320815,143100,51.2,1000
834,SUB-SAHARAN AFRICA                 ,37445392,945087,39.6,600
764,ASIA (EX. NEAR EAST)         ,64631595,514000,125.7,7400
626,OCEANIA                            ,"1,167,242","5,794",202,"5,561"
768,SUB-SAHARAN AFRICA                 ,5548702,56785,97.7,1500
780,LATIN AMER. & CARIB    ,1065842,5128,207.9,9500
788,NORTHERN AFRICA                    ,10175014,163610,62.2,6900
792,NEAR EAST                          ,70413958,780580,90.2,6700
795,C.W. OF IND. STATES ,5042920,488100,10.3,5800
800,SUB-SAHARAN AFRICA                 ,28195754,236040,119.5,1400
804,C.W. OF IND. STATES ,46710816,603700,77.4,5400
784,NEAR EAST                          ,2602713,82880,31.4,23200
826,WESTERN EUROPE                     ,60609153,244820,247.6,27700
840,NORTHERN AMERICA                   ,298444215,9631420,31,37800
858,LATIN AMER. & CARIB    ,3431932,176220,19.5,12800
860,C.W. OF IND. STATES ,27307134,447400,61,1700
548,OCEANIA                            ,208869,12200,17.1,2900
862,LATIN AMER. & CARIB    ,25730435,912050,28.2,4800
704,ASIA (EX. NEAR EAST)         ,84402966,329560,256.1,2500
732,NORTHERN AFRICA                    ,273008,266000,1,NA
887,NEAR EAST                          ,21456188,527970,40.6,800
894,SUB-SAHARAN AFRICA                 ,11502010,752614,15.3,800
716,SUB-SAHARAN AFRICA                 ,12236805,390580,31.3,1900
